modelo,MAE,RMSE,R2,cv_r2_mean,cv_r2_std,tempo_s
Baseline (media),61397.04471533719,115217.79988979174,-1.199943455043595e-05,-0.00010339735201556622,5.116446561878014e-05,0.021908044815063477
KNN,44080.293542632615,95389.03192355392,0.31457026987806413,0.42156021174294767,0.05851148121463156,0.021561384201049805
Random Forest,43607.95554197475,91138.27548198489,0.374297819517317,0.4338375121374087,0.0808969284866033,2.5270330905914307
Gradient Boosting,46255.96613585672,96346.82861051141,0.30073643037892495,0.3826918059210743,0.04488643000391169,1.7301721572875977
