modelo,auc_antes,auc_depois,f1_antes,f1_depois,accuracy,precision,recall,cv_auc,ganho_auc
KNN,0.8028766122690301,0.8371697969703404,0.5908071748878924,0.5808419768151312,0.8180132450331126,0.7531645569620253,0.4726911618669315,0.8331675965448697,0.034293184701310375
Random Forest,0.8865632049640954,0.892185697229222,0.7051609606540623,0.7134328358208956,0.8474172185430463,0.7148554336989033,0.7120158887785502,0.8826584145101254,0.005622492265126677
Gradient Boosting,0.8289543642479521,0.8791540861369259,0.5502298095863427,0.6658946149392009,0.8471523178807947,0.7986111111111112,0.5710029791459782,0.8668286450359055,0.050199721888973814
