modelo,auc_holdout_aleatorio,auc_temporal_2024,f1_temporal_2024,queda_auc
KNN,0.8371697969703404,0.562625393525761,0.20422535211267606,0.2745444034445794
Random Forest,0.892185697229222,0.6042354397677999,0.2696503496503497,0.2879502574614221
Gradient Boosting,0.8791540861369259,0.5842968748619014,0.24409171075837743,0.2948572112750245
