Nome: RIO VERDE
Codigo Estacao: 83470
Latitude: -17.78527777
Longitude: -50.96472222
Altitude: 780.04
Situacao: Fechada
Data Inicial: 2025-01-01
Data Final: 2025-06-26
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;0;null;null;null;150.4;6.9;21;322.5;925.6;29.9;24;20.8;null;8.2;1.6;97.4;null;
2025-02-28;0;null;null;null;106.9;7.5;18;212.3;926.4;30.6;23.9;20.2;78.5;5.1;1.8;97.5;null;
2025-03-31;null;null;null;null;null;null;7;null;927.4;31;24.5;20.6;75.6;5.1;1.3;97.6;null;
2025-04-30;null;null;null;null;null;null;6;null;926.6;29.8;23.8;20.2;79.4;6.2;.9;96.9;null;
2025-05-31;0;null;null;null;null;3.3;2;null;929.9;27.3;20.9;16.2;71;4.6;1.2;97.5;null;
2025-06-30;null;null;null;null;null;null;1;null;930.2;27.9;20.2;14.7;69;4.6;1.1;97.5;null;

