Nome: ARAGARCAS
Codigo Estacao: 83368
Latitude: -15.9025
Longitude: -52.24527777
Altitude: 327.03
Situacao: Fechada
Data Inicial: 2025-01-01
Data Final: 2025-07-02
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;0;null;null;null;null;7;19;304.3;972.4;32.3;26.2;19.5;78.9;1;.6;97.3;null;
2025-02-28;0;null;null;null;null;6.4;10;236;973.5;33.5;26.7;19.4;70.9;1;.6;97.3;null;
2025-03-31;0;null;null;null;null;5.9;10;81.2;974.2;35.2;27.6;19.9;68.8;1;.6;97.3;null;
2025-04-30;0;null;null;null;null;5.4;11;47.7;973.6;34.1;26.8;19.9;74.8;1;.5;97.3;null;
2025-05-31;0;null;null;null;null;3.3;2;21.9;976.9;33.1;24.8;16.5;66.8;1;.5;97.3;null;
2025-06-30;0;null;null;null;null;3.6;1;15.2;977.4;33.1;null;null;67.8;1;.5;97.4;null;
2025-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

